Rank,Country,Country Code,Gold,Silver,Bronze,Total,Gold Medal Ratio
62.0,Dominica,DMA,1.0,0.0,0.0,1.0,1.0
62.0,Pakistan,PKN,1.0,0.0,0.0,1.0,1.0
